name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
           TOI-270 c,6.61083,0.0472,463.27733,0.01704,0.4,0.38,3386,2.42002
           HATS-43 b,82.95321,0.04944,1000.24561,0.40017,0.837,0.812,5099,13.2266
              K2-3 c,2.13899,0.1405,378.0521,0.06691,0.612,0.553,3951,1.84948
         Kepler-10 c,17.2,0.241,578.78788,1.081,0.91,1.065,5708,2.35052
             WTS-2 b,355.96782,0.01855,1544.27156,0.32497,0.82,0.761,5000,14.57167
         Kepler-74 b,216.12332,0.084,1250.27053,2.74262,1.4,1.51,6050,14.79585
              XO-4 b,513.61071,0.05485,1461.11933,2.27695,1.32,1.55,5700,14.76223
          WASP-144 b,139.8445,0.0316,1208.47443,0.35366,0.81,0.81,4950,9.52763
          KELT-2 A b,472.29301,0.05498,1723.45563,4.35216,1.31,1.842,6148,14.63893
          WASP-128 b,11820.03844,0.0359,1625.28407,1.49336,1.155,1.152,5950,10.50281
          CoRoT-24 b,5.72091,0.056,935.39212,0.39867,0.91,0.86,4950,3.69896
         MASCARA-1 b,1175.9651,0.043,2545.57383,12.8925,1.72,2.1,7554,16.81347
      Kepler-420 A b,460.85119,0.382,512.71981,1.0644,0.99,1.13,5520,10.53644
    Kepler-16 (AB) b,105.83686,0.7048,206.07229,0.14875,0.8499,0.65,4450,8.44933
            K2-237 b,508.52545,0.037,1875.71395,2.81402,1.28,1.43,6257,18.49482
          WASP-124 b,190.69704,0.0499,1319.02849,1.25145,1.07,1.02,6050,13.89914
        BD-10 3166 b,146.20107,0.046,1587.64013,2.23233,0.99,1.71,5400,11.54525
           TOI-216 b,26.06193,0.1293,617.84618,0.40232,0.874,0.838,5026,8.20497
           HATS-28 b,213.58069,0.04131,1254.10102,0.69738,0.929,0.922,5498,13.38352
         Kepler-21 b,5.08525,0.04272,1950.92878,4.38876,1.34,1.86,6131,1.63875
        Kepler-338 b,30.60688,0.117,1101.65003,3.34546,1.1,1.74,5923,2.57807
          HAT-P-36 b,582.26164,0.0238,1826.83864,1.04556,1.022,1.096,5580,14.16815
       HD 202772 A b,320.37103,0.0519,2132.60542,9.24174,1.703,2.614,6230,17.50843
          WASP-114 b,562.23845,0.02851,2028.60257,2.28564,1.289,1.43,5940,15.00883
           WASP-83 b,95.34852,0.059,1114.76288,0.89267,1.11,1.05,5480,11.65734
         Kepler-17 b,778.6796,0.02591,1774.61349,1.10556,1.16,1.05,5781,14.70618
        Kepler-412 b,298.44087,0.02959,1828.60001,1.62562,1.167,1.287,5750,14.8519
           WASP-33 b,667.43965,0.02558,2681.00945,5.61373,1.495,1.444,7400,17.968
         HD 189733 b,362.96004,0.03142,1189.88141,0.32861,0.8,0.805,4875,12.75582
           WASP-66 b,737.3619,0.0546,1801.77243,5.21726,1.3,1.75,6600,15.58048
           HAT-P-4 b,216.12332,0.0446,1695.81989,2.73178,1.26,1.59,5890,14.23541
        Kepler-492 b,12681.35342,0.0987,737.23762,0.47765,0.925,0.841,5237,9.59489
             KPS-1 b,346.43296,0.0269,1446.20922,0.52564,0.892,0.907,5165,11.54525
          CoRoT-17 b,772.32303,0.0461,1625.52364,2.46395,1.04,1.59,5740,11.43316
          WASP-109 b,289.22385,0.0463,1695.16871,2.93948,1.203,1.346,6520,16.17456
          HAT-P-47 b,65.47265,0.0615,1604.24715,4.15999,1.387,1.515,6703,14.71739
         Kepler-11 f,1.99999,0.25,574.52373,1.13076,0.95,1.1,5680,2.49
   EPIC  211945201 b,27.01541,0.148,887.15404,2.25308,1.18,1.38,6025,6.1201
           WASP-88 b,177.98391,0.06431,1763.61677,6.64402,1.45,2.08,6431,19.05527
          HAT-P-19 b,92.80589,0.0466,1009.93181,0.3743,0.842,0.82,4990,12.68857
    EPIC 228754001 b,157.32506,0.0916,1593.00545,8.587,1.19,4.11,4878,12.20658
       Kepler-1655 b,4.98991,0.103,937.49111,1.36082,1.03,1.03,6148,2.21299
          HAT-P-11 b,23.39217,0.053,834.99981,0.21865,0.809,0.683,4780,4.36029
          HD 88133 b,95.34852,0.047,1698.89672,3.04691,1.2,1.93,5494,11.20898
          WASP-162 b,1652.70771,0.0871,936.46356,0.87285,0.95,1.11,5300,11.20898
          WASP-140 b,775.50131,0.0323,1316.73221,0.5202,0.9,0.87,5260,16.14093
          WASP-166 b,32.4185,0.0642,1271.74803,1.79032,1.19,1.22,6050,7.06166
           HATS-26 b,206.58846,0.04735,1925.1417,5.07565,1.299,2.04,6071,19.61572
            K2-216 b,7.91393,0.028,1101.08914,0.19137,0.7,0.72,4503,1.80465
          HAT-P-22 b,682.37759,0.0414,1281.45518,0.76739,0.916,1.04,5302,12.1057
          WASP-117 b,87.56173,0.09459,1036.65024,1.63572,1.126,1.17,6040,11.44437
           HATS-33 b,378.85146,0.03727,1430.10293,0.96173,1.062,1.022,5659,13.78705
         HD 213885 b,8.82927,0.02012,2132.40101,1.38992,1.068,1.101,5978,1.74501
          CoRoT-28 b,153.82895,0.059,1364.409,2.00106,1.01,1.78,5150,10.70458
           GJ 1214 b,6.45997,0.01411,576.3347,0.00351,0.15,0.216,3026,2.67
           WASP-39 b,88.99195,0.0486,1117.43029,0.61152,0.93,0.895,5400,14.23541
            51 Peg b,149.37935,0.052,1378.33439,1.62059,1.11,1.266,5793,21.29706
           HD 5608 b,534.26955,1.911,385.84047,13.41924,1.53,5.14,4877,13.69737
          WASP-105 b,572.09113,0.075,846.89951,0.48052,0.89,0.9,5070,10.76062
           WASP-21 b,95.34852,0.052,1262.73597,1.1416,1.01,1.06,5800,13.56287
           HAT-P-6 b,335.94463,0.05235,1673.08017,3.56581,1.29,1.46,6570,14.90794
           TOI-150 b,546.66486,0.0643,1431.63578,2.85361,1.249,1.551,6029,15.46839
         Kepler-45 b,160.50335,0.027,832.63948,0.05783,0.59,0.55,3820,10.76062
           WASP-96 b,152.55764,0.0453,1286.14108,0.93241,1.06,1.05,5540,13.45078
         HD 179949 b,292.40213,0.045,1552.31812,1.95246,1.28,1.19,6260,11.76943
          WASP-106 b,611.81968,0.0917,1299.52831,3.98235,1.27,1.85,6000,12.16174
           KOI-415 b,19749.85719,0.593,442.17482,1.59851,0.94,1.25,5810,8.85509
          HAT-P-54 b,241.54959,0.04117,820.06459,0.12695,0.645,0.617,4390,10.58128
            WASP-7 b,305.11527,0.0617,1486.76455,3.08885,1.276,1.432,6400,14.90794
          HAT-P-55 b,184.97613,0.04604,1315.6094,1.04424,1.013,1.011,5808,13.24902
            WASP-4 b,393.15374,0.02312,1870.47106,1.08652,0.93,1.15,5500,15.63653
         HD 114613 b,113.46474,5.34,177.33973,4.16335,1.27,2.14,5641,13.24902
          HAT-P-29 b,247.2705,0.0667,1258.79948,1.84657,1.207,1.224,6087,12.40834
        Kepler-454 b,6.83331,0.0954,916.68672,1.06718,1.028,1.066,5687,2.36509
           HAT-P-1 b,166.85991,0.05561,1325.67274,1.58246,1.151,1.174,5980,14.78465
           Qatar-2 b,790.43925,0.02149,1290.16594,0.21248,0.74,0.713,4645,12.82307
          WASP-110 b,163.68163,0.0457,1143.29133,0.59254,0.892,0.881,5400,13.87672
        HD 85628 A b,985.26806,0.047,2403.973,12.251,1.75,1.92,7800,17.14974
         Kepler-20 d,10.0688,0.3506,457.30976,0.71419,0.912,0.944,5466,2.74396
            K2-238 b,273.33243,0.046,1596.10456,2.28044,1.19,1.59,5630,14.57167
           HATS-54 b,241.54959,0.03763,1629.87786,1.64616,1.007,1.317,5702,11.95998
            HATS-5 b,75.32533,0.0542,1025.33516,0.53906,0.936,0.871,5304,10.22259
       OGLE-TR-111 b,171.62734,0.047,1027.99935,0.40966,0.82,0.831,5070,12.07207
         HD 181342 b,807.28415,1.592,410.17085,11.90961,1.69,4.71,4945,13.33869
        TRAPPIST-1 c,1.37938,0.01521,342.37464,0.00053,0.08,0.117,2560,1.056
